N,P,K,temperature,humidity,ph,rainfall,label
101,33,33,26.97251562,62.0183627,6.908671379,142.8610793,กาแฟ
83,23,55,26.89750174,83.89241484,6.463271076,43.97193745,แตงโม
22,18,33,30.41235793,52.48100602,6.621623545,93.92375879,มะม่วง
104,35,28,27.51006055,50.66687215,6.983732393,143.9955548,กาแฟ
38,15,30,28.91862016,48.13974548,5.075504537,97.01331604,มะม่วง
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,ข้าว
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,ข้าว
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,ข้าว
38,19,31,34.73823882,49.08864345,5.855119268,90.65022183,มะม่วง
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,มะม่วง
120,25,50,28.05457761,94.81637388,6.327210469,21.84869328,แตงไทย
20,19,35,34.17719782,50.62161586,6.113935087,98.00687989,มะม่วง
91,21,26,26.33377983,57.36469955,7.261313694,191.6549412,กาแฟ
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,กล้วย
95,16,55,25.26931156,87.55055105,6.612847999,40.12650421,แตงโม
96,18,50,25.3310446,84.30533791,6.904241707,41.53218699,แตงโม
39,52,53,32.51247398,94.65904123,6.704204398,51.07048113,มะละกอ
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,แตงโม
118,18,52,28.04943594,90.83130708,6.562832807,20.76223014,แตงไทย
67,68,49,35.26824831,92.38282957,6.821774589,149.8488208,มะละกอ
22,38,31,31.53356352,53.06009323,5.821106036,98.57025046,มะม่วง
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,มะม่วง
99,6,45,26.12588914,86.5507939,6.000975617,40.71210074,แตงโม
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,ข้าว
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,ข้าว
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,มะม่วง
56,50,52,33.08706051,92.25197542,6.770384816,88.1300769,มะละกอ
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,กล้วย
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,ข้าว
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,ข้าว
85,33,25,26.20811417,52.50987966,6.910823945,189.0944824,กาแฟ
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,แตงโม
95,39,29,27.35152643,55.99375012,7.13411409,148.9812525,กาแฟ
84,27,29,23.32293161,53.00366334,7.167092586,168.2644287,กาแฟ
82,24,26,24.31274458,53.57285558,6.089443603,184.4103931,กาแฟ
68,62,50,33.20258348,92.76437927,6.977700268,197.5282582,มะละกอ
92,7,48,26.27520631,86.63249555,6.956508826,54.38748495,แตงโม
68,52,49,24.42561272,92.27749066,6.577192175,63.35298768,มะละกอ
86,6,53,25.92030221,83.47202566,6.921847888,42.10681516,แตงโม
84,36,28,26.7350622,55.55164819,6.119892347,140.6305213,กาแฟ
114,27,28,24.99451759,57.93250202,7.162802357,192.8736822,กาแฟ
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,กล้วย
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,ข้าว
82,25,51,24.31334971,87.47409052,6.074209622,48.11248366,แตงโม
95,30,52,29.48069921,90.33698678,6.640470863,26.0365768,แตงไทย
90,14,52,24.84740848,89.20454622,6.391858432,59.67927244,แตงโม
98,7,45,27.79161808,92.51054946,6.157724816,26.85422624,แตงไทย
0,17,30,35.47478322,47.97230503,6.279133738,97.79072474,มะม่วง
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,กล้วย
87,28,35,26.5602777,57.1621814,6.759211911,152.0616227,กาแฟ
7,17,26,34.89226666,48.75613373,6.414526606,91.63074547,มะม่วง
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,กล้วย
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,แตงโม
99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,กล้วย
114,94,53,26.33544853,76.8532006,6.190757459,118.6858263,กล้วย
83,7,45,29.08417927,90.73891887,6.704104127,25.33014238,แตงไทย
120,19,49,25.79448878,84.26830701,6.762471629,56.45229202,แตงโม
99,19,33,27.5364547,55.51673151,6.273741983,130.6377143,กาแฟ
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,ข้าว
101,17,47,29.49401389,94.72981338,6.185053234,26.30820876,แตงไทย
92,75,45,29.01207743,77.95192527,5.674403359,90.43495443,กล้วย
21,21,30,27.69819273,51.41593238,5.403908328,100.7720705,มะม่วง
40,49,47,42.93368602,91.1756748,6.501521192,246.3613268,มะละกอ
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,กล้วย
93,22,48,29.12533739,91.52291141,6.776987974,21.90440445,แตงไทย
97,25,50,26.22005978,80.90127035,6.093814669,49.08553937,แตงโม
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,ข้าว
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,กล้วย
99,15,27,27.0424167,57.27927475,6.501157208,165.6872119,กาแฟ
83,11,53,29.54097171,92.91778307,6.163921248,21.9653077,แตงไทย
26,37,30,35.39986338,49.45962621,6.166173834,97.41054011,มะม่วง
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,กล้วย
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,ข้าว
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,กล้วย
35,67,49,41.31330062,91.1508798,6.617066674,239.7427554,มะละกอ
84,18,46,27.08808014,93.42402083,6.781050373,25.32159689,แตงไทย
119,7,55,26.03867719,84.6378378,6.031424482,44.3993381,แตงโม
100,17,48,29.72791119,94.29753295,6.367800632,26.52364146,แตงไทย
120,40,33,24.23850608,54.30329632,6.73410539,115.1564012,กาแฟ
35,18,26,31.99490489,50.84881347,5.279388967,97.38741498,มะม่วง
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,ข้าว
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,ข้าว
117,25,54,28.68275966,92.50969311,6.150686364,29.11187663,แตงไทย
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,ข้าว
111,32,34,25.46743689,69.35161206,6.392048018,171.3764462,กาแฟ
99,29,55,29.19378695,91.46241065,6.660954816,26.48240255,แตงไทย
95,75,50,28.08166093,75.26429821,5.623615687,118.2761894,กล้วย
1,30,29,28.33333307,51.39586505,6.434197756,91.67241761,มะม่วง
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,กล้วย
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,กล้วย
85,21,52,29.62800691,90.10051615,6.075144116,23.69586761,แตงไทย
3,18,31,31.65333432,48.20662669,6.392313973,91.09745581,มะม่วง
98,79,50,25.34119774,84.47321314,6.435917308,91.06493353,กล้วย
101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,แตงไทย
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,กล้วย
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,แตงโม
111,5,47,28.03306461,91.47355778,6.274452811,21.17924769,แตงไทย
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,ข้าว
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,ข้าว
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,กาแฟ
68,70,54,31.29986342,92.76039164,6.986228647,54.77830202,มะละกอ
116,38,34,23.29250318,50.04557009,6.020947179,183.468585,กาแฟ
110,14,51,27.02415146,91.66737633,6.085444691,21.26034986,แตงไทย
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,มะม่วง
108,89,53,29.55054817,78.06762846,5.808497604,99.34482238,กล้วย
34,68,51,27.34734861,94.17756725,6.687088098,40.35153141,มะละกอ
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,กล้วย
113,15,29,27.09617155,63.55324262,6.779230041,190.2440566,กาแฟ
117,26,30,27.92374437,67.96910852,7.079850922,115.2325531,กาแฟ
89,85,55,26.6719835,76.48541655,6.275384607,91.73358569,กล้วย
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,ข้าว
42,60,47,33.46873719,92.12746225,6.834808348,136.8277041,มะละกอ
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,กล้วย
98,18,27,27.56088634,68.49299897,6.516312148,167.4358075,กาแฟ
